,layer,head,model_name,features,r2,mse,explained_variance_score,max_error,mean_absolute_percentage_error
43,3,6,Ridge,"emb_to, emb_from, pos",0.5887119722537343,0.000475892086673,0.588739638274118,0.5317786502526624,3.312263748720764
44,3,6,Ridge,"emb_to, pos, st_to, st_from",0.5938515583831853,0.0004699451876563,0.593879224034227,0.5297381542411754,3.0014945248724336
45,3,6,Ridge,"pos, st_to, st_from",0.5392380413539997,0.0005331372545929,0.5392657109296903,0.5480373880341928,5.264366297488392
46,3,6,Ridge,"pos, poly",0.0184662387620696,0.0011357105441049,0.0184939457615826,0.5403379620594956,8.032928681067181
47,3,6,Ridge,"emb_to, pos, st_to, st_from, poly",0.5964880425509476,0.0004668945713791,0.5965166886914772,0.5305158687646749,3.0538096101978804
48,7,6,Ridge,pos,0.0243383019344075,0.0066146678991156,0.0243674441929716,0.604959499360643,693.7019138906613
49,7,6,Ridge,"emb_from, pos",0.0200594176976632,0.006643677337798,0.0200885601655739,0.6152981272529378,695.5144776042418
50,7,6,Ridge,"emb_to, pos",0.9521483006149932,0.0003244189051058,0.952177397479987,0.6017621666478766,269.4347023747182
51,7,6,Ridge,"emb_to, emb_from, pos",0.9518452150888148,0.0003264737260593,0.951874311968637,0.603935496088662,274.18821192554896
52,7,6,Ridge,"emb_to, pos, st_to, st_from",0.954118645382942,0.0003110606106144,0.9541477421515356,0.6039599526435168,198.8357248112165
53,7,6,Ridge,"pos, st_to, st_from",0.6559243202511397,0.0023327208172808,0.6559534316090405,0.6171963909920509,466.8891226627268
54,7,6,Ridge,"pos, poly",0.0243383019344075,0.0066146678991156,0.0243674441929716,0.604959499360643,693.7019138906613
55,7,6,Ridge,"emb_to, pos, st_to, st_from, poly",0.952549553249742,0.0003216985431937,0.9525805297937696,0.600231971445801,280.0068088298062
56,11,6,Ridge,pos,0.0359729028794548,0.0028769652960852,0.0359744390786074,0.460338922286517,31.24757503729975
57,11,6,Ridge,"emb_from, pos",0.031095740596497,0.0028915203087745,0.0310972773373829,0.465756702718249,30.58718951963661
58,11,6,Ridge,"emb_to, pos",0.8628936257918747,0.0004091692875096,0.8628950701404093,0.2811421369252358,11.705669977398504
59,11,6,Ridge,"emb_to, emb_from, pos",0.8628922114894763,0.0004091735082405,0.8628936558381681,0.2827392235106076,12.921656997157177
60,11,6,Ridge,"emb_to, pos, st_to, st_from",0.8720700280828307,0.0003817839671044,0.8720714714120922,0.2773452672173289,11.478150390259453
61,11,6,Ridge,"pos, st_to, st_from",0.0684419785914062,0.0027800671857538,0.0684435111840411,0.4632824377039564,27.899331018693868
62,11,6,Ridge,"pos, poly",0.0359729028794548,0.0028769652960852,0.0359744390786074,0.460338922286517,31.24757503729975
63,11,6,Ridge,"emb_to, pos, st_to, st_from, poly",0.862843877695391,0.0004093177517463,0.862844901258568,0.275524008479299,12.76817008548224
64,0,11,Ridge,pos,0.0250196966389195,0.0016772435259304,0.0251502577314547,0.928161607403714,132.33430831055458
65,0,11,Ridge,"emb_from, pos",0.0220901185229307,0.0016822832338217,0.0222206795102563,0.9380453776954212,118.0274965326055
66,0,11,Ridge,"emb_to, pos",0.1778872875231988,0.0014142677752907,0.1780178541056466,0.9228248038414938,37.11630666536105
67,0,11,Ridge,"emb_to, emb_from, pos",0.1743926333450679,0.001420279574786,0.1745231998020124,0.932041994485816,31.710178008970512
68,0,11,Ridge,"emb_to, pos, st_to, st_from",0.1779867122287491,0.0014140967365086,0.1781172788147674,0.9226055201289916,31.96890010244129
69,0,11,Ridge,"pos, st_to, st_from",0.0731322123736633,0.0015944763097578,0.0732627751940566,0.9300751998286312,100.360386599065
70,0,11,Ridge,"pos, poly",0.0250196966389195,0.0016772435259304,0.0251502577314547,0.928161607403714,132.33430831055458
71,0,11,Ridge,"emb_to, pos, st_to, st_from, poly",0.2461687008849541,0.001296804316688,0.2462964730477098,0.905664328129487,149.28531237031157
72,3,11,Ridge,pos,0.0074499398636111,0.0041043823109677,0.0074963912866006,0.9083416601272633,728.7468463254733
73,3,11,Ridge,"emb_from, pos",0.0030538787593484,0.0041225608554653,0.0031003305607335,0.9014434655236576,723.5001790550108
74,3,11,Ridge,"emb_to, pos",0.1740150670128868,0.0034156039924196,0.1740615040986045,0.894329984960293,414.0773472849633
